# qstring	phrase	weight	tags
Dk3:DkDb	上班上課	-1.340324	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5iq=	燦星	-2.800737	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[15_|_5E	嘉義大學	-1.167356	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5_|_0_ec	義大世界	-2.397869	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9P{JRPRP	女神卡卡	-2.768300	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
=_kM~K4>	立榮航空	-2.397817	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
g:f<IX	官將首	-2.400841	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
TJ18	原燒	-2.203446	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
T0{?uH?E	西堤牛排	-2.396723	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
BbN:0_4L	樂天市場	-1.910379	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:B_1K	台灣企銀	-2.394892	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
S<]Ko=	張芸京	-2.395054	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
3@xUF0ci	奇美醫院	-1.982739	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9><@7i	鍾無艷	-2.394527	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
m@xUBb	達美樂	-2.402912	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>NjwK\0	中信房屋	-1.607625	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJIM|?	陳庭妮	-2.403409	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
aJ4Kc=cY	全民英檢	-2.177966	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
6h@@{;	六福村	-3.134174	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4LkM|_5E	長榮大學	-1.354890	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
>@Nj=f	朴信惠	-2.403155	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEvUO_E<	台北富邦	-2.394717	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:wK\0	台灣房屋	-0.803207	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
_;K@halj	新竹貨運	-1.270229	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
bZ}IN_c[	品田牧場	-2.396739	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
LdoT	愛買	-2.218760	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEvU|_5E	台北大學	-1.126201	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJrG;;	陳喬恩	-3.333407	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
g5_;0WVe	開心寶貝	-1.584878	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
N<0_xU	康是美	-2.565274	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
WB4K@@0_	國民服飾	-1.396365	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>NXmTha	中友百貨	-1.721253	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
2:_;^P	安心亞	-2.021341	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
RW0J}^	巧連智	-2.397973	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5_j60\	易飛網	-2.180265	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CiG@C:	劍湖山	-2.395536	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
:1[1f<	八家將	-2.365611	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
SWdMVY	小紅傘	-2.403845	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
2_nH?0L9	自由之丘	-1.926374	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
~=P;:PnH	東森旅遊	-1.513874	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4C0_3>c[	格式工廠	-0.891149	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
L`N_|?	夏慕尼	-2.396552	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
s25_	多益	-1.239147	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
D8^l3M	蕭敬騰	-2.400166	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
U:Yc9Rw2	千葉火鍋	-2.653838	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zfBWKZM_	跳蚤本舖	-2.403947	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
_;]ONb7i	心理測驗	-1.060346	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
MiH<F0ci	萬芳醫院	-1.885926	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
g5hI|_5E	開南大學	-2.396126	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJdM	宸鴻	-2.069873	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
lglgV:^=	豆豆先生	-1.412716	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEU3|_	台科大	-2.250622	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
3MTJ3gRl	藤原效應	-2.072419	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
KlM9	正修	-2.146130	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
@l[L:PnH	鳳凰旅遊	-1.117031	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
]OdMR0	李弘基	-2.309193	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
a_8T<jK_	浴血任務	-2.189392	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
:_F0{JaJ	第一神拳	-1.956027	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
aJPA	全華	-1.788107	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
j6OD<iCE	飛碟電台	-1.563899	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
m_Uk<i6W	巨匠電腦	-1.735905	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
082@TJw\	超級圓頂	-1.702066	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE9>kML]	台中榮總	-1.120603	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
O_E<|Jxg	富邦人壽	-3.717134	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>5E^=0\	中學生網	-2.405671	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
}^y<	志光	-1.368851	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_kMhalj	大榮貨運	-2.611446	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{h{Jm_uh	漢神巨蛋	-2.402534	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[1tf	嘉藥	-1.425205	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{J6WWBA_	神腦國際	-2.998333	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
~IQdxgvf	年代售票	-1.297938	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
EmIX[3zj	二手車訊	-2.401137	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
>E_;=f	白歆惠	-2.394269	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
rFQ=9\c[	微風廣場	-1.678730	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
y==_NX	翁立友	-2.398986	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
q=m_\Y	星聚點	-1.839346	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
tOA13E	古拉爵	-2.401436	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
FM[1okpa	名家創作	-1.387370	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEhIU3|_	台南科大	-1.789551	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
J;]O|_5E	真理大學	-1.435277	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
ZXIPt7	九把刀	-3.307948	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9RME|J	火柴人	-1.775645	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
>Jlj1U	玩運彩	-3.777666	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>Z<B_Wk	中央氣象	-1.022354	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5_|_F0ci	義大醫院	-2.122809	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
IM3:IMDb	停班停課	-2.401302	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
8GyK	隋棠	-1.344285	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
ROObC]L_	紫色恐怖	-1.834030	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
=_c=wK	麗嬰房	-2.398292	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
VBKPS;Q;	羅馬拼音	-1.919387	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`llj9P{J	幸運女神	-1.713562	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_4ZmT	大遠百	-3.066178	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
kO@@:PnH	五福旅遊	-1.123507	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
xUBb[1	美樂家	-2.402832	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
lj1U	運彩	-2.520450	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`@[1CM	徐佳瑩	-2.399335	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C:O_:PnH	山富旅遊	-1.892455	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
h:dMxgvf	寬宏售票	-2.372873	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>2@5_3:	終極一班	-1.599454	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
rFLbC:L9	微熱山丘	-3.661143	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
h=h=tf^@	丁丁藥局	-1.987293	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
6:5_NJ{J	翻譯傳神	-1.862082	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`l@@4>T:	幸福空間	-1.057514	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C:L`}^ZX	山下智久	-2.394858	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_oT[1	大買家	-2.648078	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
gc];7i	謝金燕	-2.394222	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[Zrh?0WY	審判之眼	-2.101220	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Wk^=tPKb	相聲瓦舍	-3.118801	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
TJO_Klpi	元富證券	-2.309189	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4L8:4W	長灘島	-2.395865	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{hljo0[3	和運租車	-2.900713	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
48XOx@	糙米茶	-2.397058	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
G:4Km0^@	三民書局	-1.372166	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
RP0>3Kcf	卡通頻道	-1.295893	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
t1cH	抓猴	-2.397443	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
uHe]	牛爾	-1.277912	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w[p?N:yK	饗食天堂	-2.379917	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w2^l	郭靜	-1.347004	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w\PL	鼎王	-2.333440	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4Z~=U<1K	遠東商銀	-1.654052	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
UGTJDblj	桃園客運	-1.329683	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
vTR0Klpi	凱基證券	-2.405916	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
]OcZ8W	李敏鎬	-2.401342	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C1j6ol	咖啡弄	-1.989292	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
FM_;	明新	-1.543096	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`l;f	興櫃	-2.405932	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w2TJ5_	郭元益	-1.731054	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
mT0_m@	百視達	-2.235651	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
<@DbjK	吳克群	-0.504850	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4CDko0[3	格上租車	-2.744103	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
^PRdIXR0	亞太手機	-2.197180	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
\_|JF0m:	樹人醫專	-2.404599	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C_03CE^:	戲說台灣	-1.332761	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE9>Dblj	台中客運	-1.183974	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
LE2@8i	宅急便	-2.396862	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:|Jxg	台灣人壽	-1.628324	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
x7A0|_	高師大	-1.555074	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
]OZX:C	李玖哲	-2.190853	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
S<kMkM	張榕容	-1.959144	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
WB4K~I];	國民年金	-1.366955	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
FMcf|_5E	明道大學	-1.786731	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
=X3aX<M>	斗破蒼穹	-4.509412	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
N<3;	康軒	-2.399171	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
lIR@	韓瑜	-1.848073	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
_;K@Dblj	新竹客運	-1.268173	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE~=|_5E	台東大學	-1.295114	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
