# qstring	previous	current	probability
6CUO m_	何以	聚	-2.240000
PO~l _dm_	使用	載具	-2.240000
F0 L`ac	依	下列	-2.240000
ec Z__d	借	住在	-2.240000
pa0_ 5_|J	做事	薏仁	-2.240000
pax4{Jk@ 0_	做些什麼	事	-2.240000
parF VD2P	做為	結語	-2.240000
CiQM S_	健行	路	-2.240000
y<FM v4	光明	街	-2.240000
aJEi :<_d	全線	均在	-2.240000
aJCE cVvY	全臺	水管	-2.240000
:1p? 2f	八十	位	-2.240000
:1]O _;<i	八里	新店	-2.240000
3>S_ kOtO	公路	五股	-2.240000
3>S_ [15_	公路	嘉義	-2.240000
3>S_ rGBL	公路	橋梁	-2.240000
6h3e R0	六塊	肌	-2.240000
ql_M wI5_	共同	研議	-2.240000
Nb R7=>	冊	追蹤	-2.240000
d\ _fqq	冷	爆了	-2.240000
l04@ |JTJ	出席	人員	-2.240000
l00i :h=@	出站	就不	-2.240000
cf _dm_	到	載具	-2.240000
M<QE th	剛才	范	-2.240000
=_QM S_	力行	路	-2.240000
3>Db }8	功課	都	-2.240000
ml3> `H	動工	嘍	-2.240000
_` A__`	化	計畫	-2.240000
vUmJ a_~\	北門	玉井	-2.240000
p?ZX {?	十九	題	-2.240000
p?HW 2fcf	十秒	未到	-2.240000
g6hI 2P	卑南	語	-2.240000
hIo= aJTJ	南京	泉源	-2.240000
2@0_ Al	即是	鄧	-2.240000
2@`l cOm_	即興	喜劇	-2.240000
F:2P 0_	參與	式	-2.240000
NO4M l5	只能	摘	-2.240000
NOEk 3>=f	只讓	工會	-2.240000
dRUO_d Ib]O	可以在	這裡	-2.240000
dRL_ \0g0]5p5	可怖	嗚呼哀哉	-2.240000
CEvU \_2f	台北	數位	-2.240000
CEvU ~=01	台北	東區	-2.240000
CEvU0_ |__M01	台北市	大同區	-2.240000
CEvU0_ GKC:01	台北市	文山區	-2.240000
CE~= Ei	台東	線	-2.240000
CE^: Cbrq	台灣	各個	-2.240000
CE^: 2fEE	台灣	未來	-2.240000
CE^: IFNX	台灣	沒有	-2.240000
CE^: Eicf	台灣	縣道	-2.240000
CE^: IXkG	台灣	首條	-2.240000
}gph 2_QM[3cf	右岸	自行車道	-2.240000
Wk DkS_	向	上路	-2.240000
Wk <1<1	向	媽媽	-2.240000
Wk {;]O	向	村裡	-2.240000
Wk 9K~0	向	鄰居	-2.240000
<@ 6T6T	吳	姐姐	-2.240000
C1j6 3>S_	咖啡	公路	-2.240000
TJ9K |_?E	員林	大排	-2.240000
Ck9i QM	唱片	行	-2.240000
7:2_ |_aJ	單字	大全	-2.240000
Vkqq F0^=	嗆了	一聲	-2.240000
[15_ Ei	嘉義	線	-2.240000
L`cf }Q	嚇到	我	-2.240000
WBA_R0c[ 0J	國際機場	聯	-2.240000
_dL` cVcf	在下	水道	-2.240000
:_a_ e\	地獄	梗	-2.240000
lO_; ]O	埔心	里	-2.240000
6_ A0:_	埤	濕地	-2.240000
`_B8 ?]	塑膠	桶	-2.240000
|_ 3>S_	大	公路	-2.240000
|_|J S_	大仁	路	-2.240000
|_?E q[Nb	大排	兩側	-2.240000
|_}^ S_	大智	路	-2.240000
|_T0 B8vHcf	大溪	交流道	-2.240000
|_Q= S_	大豐	路	-2.240000
|_~L ^:	大鵬	灣	-2.240000
N::_ rF[1	天地	為家	-2.240000
?1 L_jPE0CR	她	不假思索	-2.240000
?1 mlR_	她	動怒	-2.240000
?1 R0g0	她	幾乎	-2.240000
?1 xUN:	她	每天	-2.240000
?1 KXcf	她	走到	-2.240000
5E4@ =_	學習	力	-2.240000
2: |_rG	安	大橋	-2.240000
3;L_ g5Od	宣布	開賣	-2.240000
8TLj KlCi	寫進	政見	-2.240000
mG K@~=	寮	竹東	-2.240000
4_ 5_G@ZX	寺	一壺酒	-2.240000
7f_` A_S_	對話	記錄	-2.240000
4WA0 n?K_	導師	職務	-2.240000
SW 9K{;	小	林村	-2.240000
:hDk 0\	就上	網	-2.240000
EM~= Ei	屏東	線	-2.240000
C: 3>S_	山	公路	-2.240000
z\ 0Tcf	嶺	鐵道	-2.240000
3>=f O]4Z	工會	永遠	-2.240000
3>5_ rAK_vY	工藝	博物館	-2.240000
UOo= DkEi	已經	上線	-2.240000
0_Ei cf	市縣	道	-2.240000
Qd ?1cf	帶	她到	-2.240000
EM 3>S_	平	公路	-2.240000
EMS0 Ei	平溪	線	-2.240000
Ye_` |_aJ	廢話	大全	-2.240000
Ci}^ ljbi	建置	運算	-2.240000
0_ 5E4@	式	學習	-2.240000
rgaM Vj	後龍	汶	-2.240000
_;]O p??;hIfa	心裡	十分難過	-2.240000
_;]O `Z`Z	心裡	隱隱	-2.240000
_;]O j64L	心裡	非常	-2.240000
9> FMS_	忠	明路	-2.240000
>iqq G:~I	念了	三年	-2.240000
]Zcp l00i	怎麼	出站	-2.240000
w[ 0iNX	想	佔有	-2.240000
Ld v4BX	愛	街口	-2.240000
=M=_ Kb	成立	社	-2.240000
}Q_d EmKM	我在	二零	-2.240000
wK =@fa	房	不過	-2.240000
CRNX KlCi	所有	政見	-2.240000
IPrq C0	把個	資	-2.240000
^H q[vf	投	兩票	-2.240000
A1 91sO	拉	阿魯	-2.240000
o@x4 5J	拿些	錢	-2.240000
VD i_Ei	捷	綠線	-2.240000
VDlj _;	捷運	新	-2.240000
VDlj hIRO	捷運	楠梓	-2.240000
VDlj uh	捷運	淡	-2.240000
VDlj RO	捷運	紫	-2.240000
VDlj Ei	捷運	線	-2.240000
VDlj [LEi	捷運	黃線	-2.240000
>92@ C0zj	搜集	資訊	-2.240000
l5 F03_	摘	一次	-2.240000
]= h<\[	撐	香港	-2.240000
N1 3@EE	撒	奇萊	-2.240000
KlCi I<9>	政見	當中	-2.240000
_; FMS_	新	明路	-2.240000
_;}^ s25_	新制	多益	-2.240000
_;q= 5_{?	新興	議題	-2.240000
0_ Ci}^	是	建置	-2.240000
0_ {?^=	是	提升	-2.240000
p?Qd |_cf	時代	大道	-2.240000
p?T: u?cf	時間	一到	-2.240000
~\g: 3>S_	景觀	公路	-2.240000
Efrg {J	最後	什	-2.240000
NX SW6Nk@6_	有	小兒麻痺	-2.240000
NX tAE0	有	摩斯	-2.240000
NX|J |_=_	有人	大力	-2.240000
N_ _;S_	木	新路	-2.240000
~= 3>S_	東	公路	-2.240000
~= |_S_	東	大路	-2.240000
~=T0Wk 0_Ei	東西向	市縣	-2.240000
9K ]Ob[	林	里長	-2.240000
kG :_F0	條	第一	-2.240000
:L x7J`	楊	高架	-2.240000
hI 3>S_	楠	公路	-2.240000
_`\_ @P	樺樹	栩	-2.240000
R0i_ 2P	機率	與	-2.240000
L_cf C_?]	步道	系統	-2.240000
xU6d xUEM	每月	每坪	-2.240000
cVDk 88n_	水上	漂去	-2.240000
cVTJ Kb	水源	舍	-2.240000
cVcf EE}F	水道	來回	-2.240000
{H ~_lq	求	那麼	-2.240000
C_NO Ei	汐止	線	-2.240000
Vj 3>S_	汶	公路	-2.240000
B__` ga6i	汽化	擴散	-2.240000
J1 |_rG	沙	大橋	-2.240000
J1OK Ei	沙崙	線	-2.240000
}^ KP?]	治	馬桶	-2.240000
aJTJ v4BX	泉源	街口	-2.240000
LPL7 J16C	法規	沙盒	-2.240000
Rd0_ phtA	泰式	按摩	-2.240000
@@ Ei_d	浮	現在	-2.240000
\[ 3>S_	港	公路	-2.240000
}^dM o?	滯洪	池	-2.240000
R@|J KP^H	漁人	碼頭	-2.240000
nO7: ]1	牡丹	蝦	-2.240000
@bKD 3:	特別	班	-2.240000
A0RO >J	獅子	丸	-2.240000
3: [1Db	班	加課	-2.240000
]OQE Db	理財	課	-2.240000
c= |_rG	瑛	大橋	-2.240000
Df 3>S_	瑞	公路	-2.240000
^=A_ TJ01	生技	園區	-2.240000
nH 6C|J	由	何人	-2.240000
nH K_^l	由	物鏡	-2.240000
jPph UO	甲案	乙	-2.240000
vHx4 5J	留些	錢	-2.240000
T:a0 0_	監督	式	-2.240000
N_5J aJCE	目前	全臺	-2.240000
n?=_ J`	直立	架	-2.240000
zhcf RV	看到	尾	-2.240000
p? BYrG	石	板橋	-2.240000
Wl 3>S_	碇	公路	-2.240000
Kban Ei	社子	線	-2.240000
U35E A__`	科學	計畫	-2.240000
U3A_ Kb	科技	社	-2.240000
4>\0 Cf	空屋	稅	-2.240000
=_ c=T3	立	鶯歌	-2.240000
K@hI 0Jea	竹南	聯絡	-2.240000
K@~= Ei	竹東	線	-2.240000
VOA_ \_	筆記	術	-2.240000
C_vY hINb	系館	南側	-2.240000
G5rF xUEM	約為	每坪	-2.240000
dMlg RO	紅豆	紫	-2.240000
RO XOJ<	紫	米湯	-2.240000
i_ C:Ei	綠	山線	-2.240000
xU L_cf	美	步道	-2.240000
2PkM F0	羽絨	衣	-2.240000
Ff |_rG	翠	大橋	-2.240000
6:5_ K_	翻譯	物	-2.240000
m_ |J_;	聚	人心	-2.240000
n?~@ =1PY	職涯	發展	-2.240000
2f p?cf	胃	食道	-2.240000
N> L_EM	胸	不平	-2.240000
9KwT S_	臨海	路	-2.240000
2_aO J`	自己	架	-2.240000
CE9> 3>TJ	臺中	公園	-2.240000
CE9>0_ 3eVD	臺中市	快捷	-2.240000
CEhI 9R[30i	臺南	火車站	-2.240000
CEhI0_ vUL_	臺南市	北部	-2.240000
CE|_ ql_M	臺大	共同	-2.240000
CE|_ KbU3ci	臺大	社科院	-2.240000
2P|J A_	與人	際	-2.240000
:h 0TrG	舊	鐵橋	-2.240000
~K4> =M	航空	城	-2.240000
_\jP |_cf	艋舺	大道	-2.240000
af9K sO	茂林	魯	-2.240000
th i_A0	范	律師	-2.240000
PA_; v4	華新	街	-2.240000
MiC: sO	萬山	魯	-2.240000
5_|J J<	薏仁	湯	-2.240000
=` {?e]	薩	提爾	-2.240000
QMml ec:i	行動	介面	-2.240000
v4 3>NX	街	公有	-2.240000
v4BX ~=	街口	東	-2.240000
v4BX T0	街口	西	-2.240000
Ci p=_;	見	傾心	-2.240000
3E0C _;]O	覺得	心裡	-2.240000
g:Q; |_T0	觀音	大溪	-2.240000
A__` \e	計畫	內	-2.240000
A__` m0\e	計畫	書內	-2.240000
A__` mgfa	計畫	透過	-2.240000
2P B85E	語	教學	-2.240000
=M S_BX	誠	路口	-2.240000
0] l00_	請	出示	-2.240000
0]?1 E<vK	請她	幫忙	-2.240000
5_TJ L;_f	議員	申報	-2.240000
Q= B8vHcf	豐	交流道	-2.240000
Q= |_rG	豐	大橋	-2.240000
C0 Odyf	資	賣掉	-2.240000
_dm_ ]O^H	載具	裏頭	-2.240000
_dm_ D;	載具	跟	-2.240000
p=3> cVDk	輕功	水上	-2.240000
8fha 0_u?	退貨	事宜	-2.240000
UGcf CEvU	逃到	台北	-2.240000
Ibrq A__`	這個	計畫	-2.240000
Ib@@ _`	這幅	畫	-2.240000
0JJ` 3@T:	連假	期間	-2.240000
0Jea cf	連絡	道	-2.240000
Lj]_ =@0_	進入	不適	-2.240000
cf B8vHcf	道	交流道	-2.240000
cf :1if	道	八號	-2.240000
cf p?if	道	十號	-2.240000
cf 4_if	道	四號	-2.240000
HE0__d CEvU	還是在	台北	-2.240000
L_}i m@ph	部分	答案	-2.240000
Al 2@0_	鄧	即是	-2.240000
iM}^ K_	重製	物	-2.240000
iMiM F02@	重重	一擊	-2.240000
yS Emif	野	二號	-2.240000
]; 3>S_	金	公路	-2.240000
]; KPS_	金	馬路	-2.240000
];PA v4	金華	街	-2.240000
0TS_ UO	鐵路	已	-2.240000
Z_2_ QM	鑄字	行	-2.240000
g5=1 78	開發	標	-2.240000
g5Od 9P|J	開賣	女人	-2.240000
g:wf Ei	關廟	線	-2.240000
g:P_ |_rG	關渡	大橋	-2.240000
9j9j m_nl	陣陣	劇痛	-2.240000
2= 3>S_	雙	公路	-2.240000
p=C: L`Ei	青山	下線	-2.240000
p=~I n?~@	青年	職涯	-2.240000
Wk :_EmwY	項	第二款	-2.240000
11 aJL_	須	全部	-2.240000
ci }Q\y4M	願	我們能	-2.240000
ci~\ A__`	願景	計畫	-2.240000
j6R04L Ei	飛機場	線	-2.240000
x7J` cf	高架	道	-2.240000
x7ci U3A_	高苑	科技	-2.240000
x7}M0_ Ci3>	高雄市	建工	-2.240000
2iR@ 5_:i	鱔魚	意麵	-2.240000
zB 3>S_	鵝	公路	-2.240000
Zo }8IFNX	麽	都沒有	-2.240000
tOC: G:S_	鼓山	三路	-2.240000
